the,2926968
of,1690167
to,1352313
and,1337970
a,1065222
in,933567
was,545745
that,529117
is,483239
I,399257
for,393034
it,391743
as,354793
be,342885
with,334029
on,322725
The,316496
he,286156
had,279719
his,260831
by,251573
not,250679
at,242107
you,239115
her,232231
are,220585
have,212172
or,209715
from,207752
which,203029
she,184151
were,179441
this,177195
but,172325
an,171393
they,159673
n't,140067
their,136924
been,134708
all,129771
It,129177
would,129032
one,128050
He,123736
can,113154
there,112481
more,111880
him,111362
said,104658
do,104041
out,102864
we,102704
so,102150
up,101109
has,99403
about,96350
who,94947
could,94727
if,92880
into,92873
In,92303
them,92209
will,91528
when,88204
no,85336
what,85123
other,82188
some,81954
She,81165
time,81080
me,80929
than,79870
its,78882
only,78103
my,74575
did,72260
like,71315
may,68730
then,67625
But,64537
This,63192
any,62068
A,61834
such,61045
over,60401
very,59332
two,59315
your,58138
also,56259
these,54609
way,54033
back,53772
should,53527
first,53219
see,52337
now,52296
where,52036
between,52016
made,51902
You,50866
There,49492
down,49069
much,48540
most,48288
people,48161
They,46879
just,46535
And,46059
know,45936
even,45912
through,44916
being,44667
before,43394
must,43194
because,42836
work,42567
those,42522
own,42419
many,41905
after,41349
new,40852
If,39726
too,39476
well,39379
how,39261
We,37976
still,37843
make,37706
years,37023
our,36448
little,36403
might,36166
thought,34923
man,34863
go,34862
same,34690
get,34513
good,34110
What,33872
both,33429
think,32915
off,32640
right,31967
life,31932
long,31902
again,31718
used,31642
take,31183
never,31153
us,30904
As,30835
here,30780
each,30749
use,30040
away,29477
come,29449
under,29408
does,28925
say,28692
came,28408
found,28347
another,28198
different,27789
need,27621
against,27181
part,27121
day,26990
going,26797
For,26465
old,26286
went,26204
place,25875
looked,25685
got,25683
while,25595
always,25493
something,25486
three,25425
rather,25413
course,25298
case,25284
small,24972
without,24922
though,24830
social,24620
When,24546
left,24344
put,24215
within,24120
That,24016
eyes,23841
often,23829
few,23748
face,23643
last,23604
hand,23536
great,23419
example,23248
want,22912
took,22769
head,22768
look,22664
important,22664
number,22574
end,22452
less,22365
far,22209
later,22136
No,22062
seen,21998
find,21988
around,21916
men,21845
himself,21749
children,21493
world,21342
home,21263
asked,21179
fact,21164
set,21137
given,21035
per,20946
since,20706
local,20690
until,20570
felt,20160
told,20150
system,20060
however,20009
At,19908
form,19895
large,19794
things,19775
point,19775
His,19629
house,19613
possible,19431
give,19339
quite,19206
knew,19077
room,18722
So,18585
almost,18345
taken,18193
order,18185
once,18165
towards,18149
nothing,18129
public,18071
family,18036
whole,17980
seemed,17973
particular,17916
every,17873
early,17870
called,17754
really,17704
saw,17677
enough,17623
women,17588
One,17537
become,17517
power,17418
young,17340
door,17212
side,17196
whether,17181
government,17178
during,17037
least,16968
political,16923
Then,16843
mind,16825
school,16809
better,16780
turned,16748
upon,16602
year,16562
help,16552
information,16482
second,16442
general,16413
change,16392
why,16376
already,16366
terms,16237
together,16204
further,16109
next,16038
On,15875
high,15872
able,15846
water,15809
night,15785
others,15782
cent,15714
although,15712
done,15702
state,15702
However,15587
round,15523
tell,15471
London,15429
These,15340
known,15333
having,15318
best,15258
To,15253
became,15148
words,15125
itself,15078
thing,15058
control,15019
means,14992
kind,14983
body,14971
began,14917
ever,14893
money,14877
sense,14817
either,14815
perhaps,14765
themselves,14645
days,14644
across,14556
British,14528
question,14444
anything,14426
above,14421
view,14395
business,14316
group,14240
person,14182
Do,14179
held,14164
feel,14113
problem,14102
clear,14094
period,13955
gave,13943
open,13943
English,13924
herself,13894
interest,13849
let,13814
How,13797
making,13789
yet,13782
All,13726
wanted,13685
certain,13576
child,13533
behind,13502
century,13461
moment,13425
effect,13398
voice,13393
light,13375
area,13328
mother,13302
therefore,13265
development,13226
level,13192
mean,13181
problems,13171
woman,13130
position,13105
along,13095
am,13090
love,13074
name,13058
process,13049
likely,13003
working,12974
full,12970
law,12957
Mr,12894
hands,12839
times,12707
God,12662
real,12659
looking,12658
matter,12581
probably,12579
present,12529
idea,12491
four,12375
John,12307
father,12248
difficult,12248
main,12240
company,12236
keep,12154
black,12106
following,12060
experience,12039
Oh,12007
past,11980
support,11950
particularly,11947
market,11861
Not,11803
brought,11773
usually,11769
By,11738
care,11736
heard,11692
Yes,11683
sure,11667
evidence,11616
party,11608
doing,11579
half,11579
Some,11540
outside,11530
hard,11526
white,11492
areas,11420
age,11409
education,11396
result,11362
subject,11347
seems,11343
several,11339
Well,11332
policy,11312
Her,11303
shall,11294
reason,11283
common,11281
war,11250
among,11231
language,11197
show,11142
line,11132
death,11003
book,10996
Mrs,10992
ca,10968
individual,10960
major,10919
turn,10917
country,10885
else,10882
class,10871
close,10864
land,10860
necessary,10848
whose,10833
soon,10811
Now,10795
nature,10794
word,10775
My,10762
human,10744
car,10690
sometimes,10688
After,10681
England,10679
front,10547
late,10535
true,10483
service,10471
society,10454
morning,10408
short,10364
simply,10351
economic,10319
believe,10195
stood,10157
provide,10144
cases,10136
leave,10110
needs,10072
Why,10067
involved,9992
groups,9977
Act,9973
action,9947
seem,9939
members,9921
sort,9920
job,9908
someone,9883
taking,9825
bed,9824
especially,9804
study,9707
role,9697
practice,9673
five,9670
gone,9624
value,9620
longer,9541
available,9533
approach,9504
similar,9469
wife,9445
With,9388
concerned,9351
dark,9328
knowledge,9313
feet,9303
theory,9240
history,9211
account,9184
top,9152
using,9144
tried,9102
trying,9092
changes,9089
rate,9073
personal,9069
provided,9067
sat,9038
girl,9036
special,9036
situation,9016
air,9013
services,8998
understand,8998
ways,8980
table,8974
Britain,8951
future,8943
An,8933
moved,8922
read,8917
authority,8903
Even,8889
private,8876
rest,8875
ask,8844
lost,8843
alone,8830
behaviour,8816
hair,8815
move,8808
needed,8808
bit,8802
strong,8772
required,8768
French,8762
police,8707
Of,8689
talk,8686
followed,8682
living,8675
coming,8669
lot,8656
return,8652
try,8626
call,8611
including,8582
Although,8549
free,8526
road,8521
live,8516
big,8512
relationship,8499
earlier,8469
single,8456
ground,8430
staff,8426
food,8425
start,8389
led,8384
run,8370
feeling,8368
based,8365
conditions,8359
greater,8353
kept,8348
national,8343
various,8328
near,8312
attention,8301
court,8300
parents,8294
says,8291
low,8239
office,8232
wrong,8210
whom,8179
natural,8162
clearly,8153
building,8145
everything,8115
range,8084
started,8061
schools,8057
heart,8056
remember,8053
months,8047
considered,8020
certainly,8016
structure,7999
play,7976
hours,7975
sound,7968
inside,7965
questions,7963
reached,7912
answer,7903
indeed,7886
poor,7883
makes,7861
getting,7837
thinking,7829
trade,7829
described,7822
stage,7812
type,7783
decided,7780
community,7778
simple,7771
thus,7758
higher,7755
basis,7752
deal,7735
met,7727
myself,7720
happened,7714
pay,7708
story,7673
church,7656
production,7638
cost,7620
actually,7617
force,7612
management,7608
research,7600
population,7574
third,7574
material,7568
From,7565
week,7562
forms,7557
continued,7544
friends,7528
six,7516
below,7515
movement,7487
section,7478
saying,7454
died,7454
expected,7451
American,7415
son,7413
central,7406
Thus,7398
lay,7395
field,7377
carried,7376
hear,7344
forward,7344
workers,7311
shown,7309
Where,7296
suddenly,7261
training,7255
doubt,7236
written,7236
Sir,7230
analysis,7205
meant,7198
floor,7190
arms,7168
paid,7165
mouth,7155
cause,7152
paper,7145
evening,7138
quickly,7135
dead,7132
easy,7113
beginning,7080
labour,7045
New,7016
price,7009
influence,7005
boy,7001
Lord,6990
modern,6990
Is,6987
ten,6985
beyond,6982
cold,6979
friend,6961
bad,6924
established,6896
total,6885
model,6884
meeting,6880
developed,6863
hope,6862
bring,6861
sent,6844
wrote,6834
opened,6832
added,6832
generally,6824
walked,6818
decision,6765
hold,6760
cut,6755
anyone,6749
act,6739
increase,6724
meet,6721
interests,6719
built,6694
data,6689
ideas,6669
Perhaps,6635
deep,6635
town,6634
window,6608
smiled,6604
property,6585
stop,6581
extent,6571
married,6557
health,6554
figure,6551
nor,6547
produced,6542
contract,6533
books,6521
lead,6513
chapter,6508
appeared,6476
circumstances,6475
goods,6474
growth,6470
allowed,6469
worked,6457
amount,6446
term,6442
minutes,6436
passed,6435
suggested,6430
red,6429
appear,6420
attempt,6417
income,6399
writing,6370
physical,6365
size,6353
arm,6350
House,6345
music,6344
wall,6320
United,6317
city,6306
parts,6304
agreed,6299
fire,6291
importance,6267
centre,6265
offer,6264
returned,6258
specific,6255
Such,6248
de,6226
space,6222
countries,6216
teachers,6211
wide,6205
capital,6204
points,6204
appropriate,6185
significant,6176
stay,6173
yourself,6168
financial,6165
wish,6163
direct,6154
today,6141
issue,6138
remained,6121
wo,6120
aware,6106
activities,6097
ago,6087
legal,6087
due,6086
changed,6083
Many,6068
difference,6066
sea,6063
activity,6060
giving,6059
reasons,6054
village,6044
success,6026
quality,6026
stopped,6022
instance,6005
except,5990
letter,5987
considerable,5987
smile,5986
parties,5981
planning,5973
comes,5949
report,5939
normal,5937
meaning,5937
fell,5935
relations,5923
industry,5920
received,5911
response,5908
Europe,5899
serious,5889
West,5877
consider,5874
understanding,5870
purpose,5869
basic,5864
Here,5863
glass,5862
St,5858
authorities,5833
easily,5832
lower,5826
Just,5805
standing,5804
picture,5791
produce,5789
respect,5788
Miss,5774
demand,5770
useful,5758
loss,5744
fall,5741
degree,5734
effects,5732
energy,5710
spent,5709
species,5708
recent,5703
rules,5702
running,5692
include,5691
chance,5687
older,5675
talking,5673
choice,5671
p.,5670
costs,5665
hardly,5649
Yet,5648
daughter,5641
original,5638
systems,5630
eye,5624
direction,5615
fine,5614
France,5614
context,5612
share,5604
speak,5602
immediately,5597
claim,5577
ran,5576
final,5573
rights,5571
increased,5569
results,5565
waiting,5544
European,5543
learning,5538
levels,5527
complete,5520
record,5516
industrial,5512
Charles,5506
numbers,5505
limited,5504
slowly,5501
instead,5500
students,5496
events,5493
pattern,5491
Most,5470
reading,5467
husband,5459
truth,5454
fear,5445
key,5444
suppose,5442
obvious,5440
lines,5423
series,5415
caught,5414
resources,5411
previous,5408
argument,5408
closed,5401
middle,5400
lack,5388
potential,5386
Chapter,5373
member,5367
merely,5358
leaving,5351
employment,5348
offered,5346
design,5343
style,5341
stand,5330
surface,5329
date,5320
complex,5318
raised,5312
ones,5309
status,5308
expect,5306
lived,5290
character,5289
works,5287
function,5275
accepted,5268
blue,5267
shows,5259
firm,5250
rise,5249
effective,5248
issues,5246
factors,5244
arrived,5243
programme,5232
William,5224
marriage,5218
straight,5204
weeks,5201
lives,5194
happy,5179
sitting,5178
professional,5171
included,5167
principle,5162
nearly,5162
allow,5159
concern,5150
girls,5147
ability,5141
George,5139
showed,5133
prepared,5132
tax,5130
studies,5121
exactly,5118
task,5117
slightly,5117
B,5114
directly,5113
source,5110
Their,5109
plan,5109
places,5106
moving,5103
ready,5097
Church,5097
method,5095
latter,5093
takes,5087
houses,5086
German,5078
Only,5077
walk,5073
sleep,5071
green,5069
teaching,5063
Or,5062
unless,5059
trees,5057
heavy,5048
b,5047
blood,5043
million,5041
everyone,5040
whatever,5037
kitchen,5035
pressure,5031
animals,5026
associated,5025
successful,5015
While,5011
companies,5005
hour,5000
traditional,4996
list,4989
teacher,4987
gives,4986
North,4984
C,4983
accept,4974